episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
178,training,3604,167247.0,5525,11119,118.4724,4.87,0.5,84.0,-147.4447,-6.63,-1.0716,280.0,-90.3813
179,training,3604,142641.0,5621,11082,163.1777,4.88,0.49,84.0,-107.8806,-6.92,-1.0524,280.0,-84.9693
180,training,3608,154907.0,5562,11114,138.8526,4.9,0.47,84.3,-131.8511,-6.67,-1.017,281.0,-86.9093
181,training,3601,156364.0,5592,11203,133.6883,4.87,0.49,84.0,-134.6025,-6.75,-1.0632,280.0,-87.896
182,training,3605,145193.0,5539,11180,167.1024,4.88,0.51,84.3,-105.8231,-6.56,-1.1052,281.0,-84.7093
183,training,3603,155679.0,5448,11186,153.36,4.84,0.51,83.7,-115.81,-7.05,-1.092,279.0,-85.388
184,training,3600,169933.0,5554,11002,133.8016,4.87,0.5,83.7,-134.5408,-6.7,-1.0776,279.0,-86.58
185,training,3609,162624.0,5490,11114,137.9841,4.86,0.49,83.7,-132.3719,-7.53,-1.0566,279.0,-83.7573
186,training,3600,146457.0,5673,10990,155.224,4.85,0.49,83.7,-116.3748,-7.01,-1.0632,279.0,-83.028
187,training,3603,140744.0,5607,11152,168.5218,4.85,0.48,83.7,-106.7564,-7.57,-1.0464,279.0,-78.8053
188,training,3609,146367.0,5599,11093,127.41,4.83,0.47,83.7,-138.1262,-8.0,-1.0158,279.0,-88.148
189,training,3601,220259.0,5574,11164,100.0646,4.88,0.51,84.0,-166.0305,-6.98,-1.1022,280.0,-89.8227
190,training,3603,143865.0,5568,10975,147.2219,4.89,0.45,83.7,-125.1229,-7.84,-0.9792,279.0,-81.536
191,training,3612,179110.0,5515,11103,112.3375,4.83,0.51,83.7,-152.3705,-8.3,-1.116,279.0,-88.576
192,training,3611,176162.0,5613,10935,115.0327,4.83,0.52,83.4,-150.6005,-8.3,-1.1268,278.0,-86.34
193,training,3612,155773.0,5561,11121,141.1997,4.84,0.51,83.7,-127.3336,-8.38,-1.104,279.0,-84.6827
194,training,3612,126981.0,5530,11099,182.722,4.86,0.47,83.7,-95.4933,-8.33,-1.02,279.0,-75.1347
195,training,3612,185979.0,5533,10986,105.269,4.87,0.52,83.7,-158.8115,-8.52,-1.1208,279.0,-88.9787
196,training,3611,185664.0,5360,11094,92.3252,4.81,0.49,83.4,-171.1977,-8.73,-1.0698,278.0,-88.0773
197,training,3609,131352.0,5599,11040,163.0966,4.83,0.49,83.7,-105.5668,-8.51,-1.0626,279.0,-84.464
